"ámbitos territoriales","año de nacimiento","sexo","2025/01/01"
"Alkiza","1918","Total",0
"Alkiza","1917","Total",0
"Alkiza","1916","Total",0
"Alkiza","1915","Total",0
"Alkiza","1914","Total",0
"Alkiza","1913","Total",0
"Alkiza","1912","Total",0
"Alkiza","1911","Total",0
"Alkiza","1910","Total",0
"Alkiza","1909","Total",0
"Alkiza","1908","Total",0
"Alkiza","1907","Total",0
"Alkiza","1906","Total",0
"Alkiza","1905","Total",0
"Alkiza","1904","Total",0
"Alkiza","1903","Total",0
"Alkiza","1902","Total",0
"Alkiza","1901","Total",0
"Alkiza","1900","Total",0
"Alkiza","1899","Total",0
"Alkiza","1898","Total",0
"Alkiza","1897","Total",0
"Alkiza","1896","Total",0
"Alkiza","<= 1895","Total",0
"Altzaga","1949","Total",5
"Altzaga","1948","Total",1
"Altzaga","1947","Total",1
"Altzaga","1946","Total",2
"Altzaga","1945","Total",0
"Altzaga","1944","Total",1
"Altzaga","1943","Total",2
"Altzaga","1942","Total",2
"Altzaga","1941","Total",0
"Altzaga","1940","Total",1
"Altzaga","1939","Total",0
"Altzaga","1938","Total",2
"Altzaga","1937","Total",0
"Altzaga","1936","Total",1
"Altzaga","1935","Total",0
"Altzaga","1934","Total",0
"Altzaga","1933","Total",0
"Altzaga","1932","Total",0
"Altzaga","1931","Total",0
"Altzaga","1930","Total",0
"Altzaga","1929","Total",0
"Altzaga","1928","Total",0
"Altzaga","1927","Total",0
"Altzaga","1926","Total",0
"Altzaga","1925","Total",0
"Altzaga","1924","Total",0
"Altzaga","1923","Total",0
"Altzaga","1922","Total",0
"Altzaga","1921","Total",0
"Altzaga","1920","Total",0
"Altzaga","1919","Total",0
"Altzaga","1918","Total",0
"Altzaga","1917","Total",0
"Altzaga","1916","Total",0
"Altzaga","1915","Total",0
"Altzaga","1914","Total",0
"Altzaga","1913","Total",0
"Altzaga","1912","Total",0
"Altzaga","1911","Total",0
"Altzaga","1910","Total",0
"Altzaga","1909","Total",0
"Altzaga","1908","Total",0
"Altzaga","1907","Total",0
"Altzaga","1906","Total",0
"Altzaga","1905","Total",0
"Altzaga","1904","Total",0
"Altzaga","1903","Total",0
"Altzaga","1902","Total",0
"Altzaga","1901","Total",0
"Altzaga","1900","Total",0
"Altzaga","1899","Total",0
"Altzaga","1898","Total",0
"Altzaga","1897","Total",0
"Altzaga","1896","Total",0
"Altzaga","<= 1895","Total",0
"Altzo","1949","Total",2
"Altzo","1948","Total",6
"Altzo","1947","Total",3
"Altzo","1946","Total",1
"Altzo","1945","Total",2
"Altzo","1944","Total",4
"Altzo","1943","Total",3
"Altzo","1942","Total",2
"Altzo","1941","Total",2
"Altzo","1940","Total",0
"Altzo","1939","Total",1
"Altzo","1938","Total",1
"Altzo","1937","Total",1
"Altzo","1936","Total",1
"Altzo","1935","Total",1
"Altzo","1934","Total",0
"Altzo","1933","Total",2
"Altzo","1932","Total",0
"Altzo","1931","Total",0
"Altzo","1930","Total",1
"Altzo","1929","Total",0
"Altzo","1928","Total",0
"Altzo","1927","Total",0
"Altzo","1926","Total",1
"Altzo","1925","Total",0
"Altzo","1924","Total",0
"Altzo","1923","Total",0
"Altzo","1922","Total",0
"Altzo","1921","Total",0
"Altzo","1920","Total",0
"Altzo","1919","Total",0
"Altzo","1918","Total",0
"Altzo","1917","Total",0
"Altzo","1916","Total",0
"Altzo","1915","Total",0
"Altzo","1914","Total",0
"Altzo","1913","Total",0
"Altzo","1912","Total",0
"Altzo","1911","Total",0
"Altzo","1910","Total",0
"Altzo","1909","Total",0
"Altzo","1908","Total",0
"Altzo","1907","Total",0
"Altzo","1906","Total",0
"Altzo","1905","Total",0
"Altzo","1904","Total",0
"Altzo","1903","Total",0
"Altzo","1902","Total",0
"Altzo","1901","Total",0
"Altzo","1900","Total",0
"Altzo","1899","Total",0
"Altzo","1898","Total",0
"Altzo","1897","Total",0
"Altzo","1896","Total",0
"Altzo","<= 1895","Total",0
"Amezketa","1949","Total",6
"Amezketa","1948","Total",12
"Amezketa","1947","Total",9
"Amezketa","1946","Total",3
"Amezketa","1945","Total",7
"Amezketa","1944","Total",5
"Amezketa","1943","Total",9
"Amezketa","1942","Total",7
"Amezketa","1941","Total",3
"Amezketa","1940","Total",7
"Amezketa","1939","Total",4
"Amezketa","1938","Total",3
"Amezketa","1937","Total",3
"Amezketa","1936","Total",4
"Amezketa","1935","Total",5
"Amezketa","1934","Total",1
"Amezketa","1933","Total",4
"Amezketa","1932","Total",2
"Amezketa","1931","Total",4
"Amezketa","1930","Total",2
"Amezketa","1929","Total",0
"Amezketa","1928","Total",1
"Amezketa","1927","Total",0
"Amezketa","1926","Total",0
"Amezketa","1925","Total",0
"Amezketa","1924","Total",0
"Amezketa","1923","Total",0
"Amezketa","1922","Total",0
"Amezketa","1921","Total",0
"Amezketa","1920","Total",0
"Amezketa","1919","Total",0
"Amezketa","1918","Total",0
"Amezketa","1917","Total",0
"Amezketa","1916","Total",0
"Amezketa","1915","Total",0
"Amezketa","1914","Total",0
"Amezketa","1913","Total",0
"Amezketa","1912","Total",0
"Amezketa","1911","Total",0
"Amezketa","1910","Total",0
"Amezketa","1909","Total",0
"Amezketa","1908","Total",0
"Amezketa","1907","Total",0
"Amezketa","1906","Total",0
"Amezketa","1905","Total",0
"Amezketa","1904","Total",0
"Amezketa","1903","Total",0
"Amezketa","1902","Total",0
"Amezketa","1901","Total",0
"Amezketa","1900","Total",0
"Amezketa","1899","Total",0
"Amezketa","1898","Total",0
"Amezketa","1897","Total",0
"Amezketa","1896","Total",0
"Amezketa","<= 1895","Total",0
"Andoain","1949","Total",175
"Andoain","1948","Total",198
"Andoain","1947","Total",155
"Andoain","1946","Total",166
"Andoain","1945","Total",156
"Andoain","1944","Total",145
"Andoain","1943","Total",145
"Andoain","1942","Total",91
"Andoain","1941","Total",80
"Andoain","1940","Total",96
"Andoain","1939","Total",68
"Andoain","1938","Total",59
"Andoain","1937","Total",59
"Andoain","1936","Total",59
"Andoain","1935","Total",67
"Andoain","1934","Total",47
"Andoain","1933","Total",32
"Andoain","1932","Total",40
"Andoain","1931","Total",30
"Andoain","1930","Total",20
"Andoain","1929","Total",11
"Andoain","1928","Total",13
"Andoain","1927","Total",6
"Andoain","1926","Total",6
"Andoain","1925","Total",2
"Andoain","1924","Total",1
"Andoain","1923","Total",2
"Andoain","1922","Total",0
"Andoain","1921","Total",0
"Andoain","1920","Total",0
"Andoain","1919","Total",0
"Andoain","1918","Total",0
"Andoain","1917","Total",0
"Andoain","1916","Total",0
"Andoain","1915","Total",0
"Andoain","1914","Total",0
"Andoain","1913","Total",0
"Andoain","1912","Total",0
"Andoain","1911","Total",0
"Andoain","1910","Total",0
"Andoain","1909","Total",0
"Andoain","1908","Total",0
"Andoain","1907","Total",0
"Andoain","1906","Total",0
"Andoain","1905","Total",0
"Andoain","1904","Total",0
"Andoain","1903","Total",0
"Andoain","1902","Total",0
"Andoain","1901","Total",0
"Andoain","1900","Total",0
"Andoain","1899","Total",0
"Andoain","1898","Total",0
"Andoain","1897","Total",0
"Andoain","1896","Total",0
"Andoain","<= 1895","Total",0
"Anoeta","1949","Total",17
"Anoeta","1948","Total",20
"Anoeta","1947","Total",12
"Anoeta","1946","Total",6
"Anoeta","1945","Total",13
"Anoeta","1944","Total",19
"Anoeta","1943","Total",15
"Anoeta","1942","Total",18
"Anoeta","1941","Total",13
"Anoeta","1940","Total",8
"Anoeta","1939","Total",3
"Anoeta","1938","Total",2
"Anoeta","1937","Total",8
"Anoeta","1936","Total",0
"Anoeta","1935","Total",7
"Anoeta","1934","Total",1
"Anoeta","1933","Total",5
"Anoeta","1932","Total",4
"Anoeta","1931","Total",2
"Anoeta","1930","Total",1
"Anoeta","1929","Total",0
"Anoeta","1928","Total",1
"Anoeta","1927","Total",0
"Anoeta","1926","Total",0
"Anoeta","1925","Total",0
"Anoeta","1924","Total",0
"Anoeta","1923","Total",0
"Anoeta","1922","Total",0
"Anoeta","1921","Total",0
"Anoeta","1920","Total",0
"Anoeta","1919","Total",0
"Anoeta","1918","Total",0
"Anoeta","1917","Total",0
"Anoeta","1916","Total",0
"Anoeta","1915","Total",0
"Anoeta","1914","Total",0
"Anoeta","1913","Total",0
"Anoeta","1912","Total",0
"Anoeta","1911","Total",0
"Anoeta","1910","Total",0
"Anoeta","1909","Total",0
"Anoeta","1908","Total",0
"Anoeta","1907","Total",0
"Anoeta","1906","Total",0
"Anoeta","1905","Total",0
"Anoeta","1904","Total",0
"Anoeta","1903","Total",0
"Anoeta","1902","Total",0
"Anoeta","1901","Total",0
"Anoeta","1900","Total",0
"Anoeta","1899","Total",0
"Anoeta","1898","Total",0
"Anoeta","1897","Total",0
"Anoeta","1896","Total",0
"Anoeta","<= 1895","Total",0
"Antzuola","1949","Total",26
"Antzuola","1948","Total",21
"Antzuola","1947","Total",17
"Antzuola","1946","Total",24
"Antzuola","1945","Total",14
"Antzuola","1944","Total",20
"Antzuola","1943","Total",23
"Antzuola","1942","Total",12
"Antzuola","1941","Total",15
"Antzuola","1940","Total",14
"Antzuola","1939","Total",9
"Antzuola","1938","Total",3
"Antzuola","1937","Total",10
"Antzuola","1936","Total",7
"Antzuola","1935","Total",3
"Antzuola","1934","Total",11
