service_id,service_name,service_category,municipality_code,latitude,longitude,reference_period,source_id,easting_m,northing_m
entityC2AAF486,Centro de Salud de Zestoa,primary_care,20027,43.23959905551925,-2.257793830406939,2026-09-20,ODE_HEALTH_CENTRES_2026,560260.5146737123,4787689.809584714
entity3D67AC7E,Centro de Salud de Deba,primary_care,20029,43.2968697914459,-2.354233337164097,2026-09-20,ODE_HEALTH_CENTRES_2026,552381.3300901303,4793984.978221339
entityE5A4FE1E,Consultorio de Itziar,primary_care,20029,43.27583408160199,-2.3302608892242724,2026-09-20,ODE_HEALTH_CENTRES_2026,554344.5831585763,4791664.1806129785
entity8712C3F6,Hospital de Eibar,hospital,20030,43.18234397228921,-2.482236927474425,2026-09-20,ODE_HEALTH_CENTRES_2026,542077.0426990803,4781194.211744874
entity7809ADB5,Centro de Salud Mental de Eibar,mental_health,20030,43.18448088339966,-2.479829262195021,2026-09-20,ODE_HEALTH_CENTRES_2026,542271.2323322523,4781432.733194523
entity383A127E,Ambulatorio de Eibar,primary_care,20030,43.186026185746265,-2.470748703052018,2026-09-20,ODE_HEALTH_CENTRES_2026,543008.0727327022,4781608.967322577
entity64796EFF,Ambulatorio de Eibar,primary_care,20030,43.186026185746265,-2.470748703052018,2026-09-20,ODE_HEALTH_CENTRES_2026,543008.0727327022,4781608.967322577
entity97C609A4,Centro de Salud de Torrekua,primary_care,20030,43.18234397228921,-2.482236927474425,2026-09-20,ODE_HEALTH_CENTRES_2026,542077.0426990803,4781194.211744874
entityD3E97B98,PAC DEL HOSPITAL DE EIBAR,primary_care,20030,43.18234397228921,-2.482236927474425,2026-09-20,ODE_HEALTH_CENTRES_2026,542077.0426990803,4781194.211744874
entity7D4411E9,Consultorio de Elduain,primary_care,20031,43.14086346072606,-2.000127466361488,2026-09-20,ODE_HEALTH_CENTRES_2026,581311.8170819114,4776942.807105989
entity9843FCC6,Centro de Salud de Elgoibar,primary_care,20032,43.215379844964495,-2.4131320975912622,2026-09-20,ODE_HEALTH_CENTRES_2026,547667.2716103652,4784899.977446979
entityF197214B,Consultorio de Elgeta,primary_care,20033,43.136848205947935,-2.487675274481719,2026-09-20,ODE_HEALTH_CENTRES_2026,541665.9873609223,4776139.1106960755
entity4FB54082,Centro de Salud de Eskoriatza,primary_care,20034,43.01830113914543,-2.5248765678570524,2026-09-20,ODE_HEALTH_CENTRES_2026,538715.0635543833,4762956.6239531385
entity837A9D6A,Consultorio de Ezkio-Itsaso,primary_care,20035,43.06489924972245,-2.277258882279827,2026-09-20,ODE_HEALTH_CENTRES_2026,558847.5067951413,4768275.231365978
entity7441E391,Hospital de Bidasoa,hospital,20036,43.341808455125886,-1.8148483033053324,2026-09-20,ODE_HEALTH_CENTRES_2026,596062.9811058459,4799455.1347867595
entity8EA5D441,Centro de Salud de Hondarribia,primary_care,20036,43.3673393105757,-1.7930609474090815,2026-09-20,ODE_HEALTH_CENTRES_2026,597787.9705033589,4802315.812504077
entity63EF5EE9,Consultorio de Gabiria,primary_care,20038,43.05011240036527,-2.280266852659813,2026-09-20,ODE_HEALTH_CENTRES_2026,558616.6726299173,4766631.046035146
entity83C716DD,Centro de Salud de Getaria,primary_care,20039,43.30194715976432,-2.2058836953210568,2026-09-20,ODE_HEALTH_CENTRES_2026,564409.3864937363,4794652.54234059
entity7425D4D1,Centro de Salud de Hernani,primary_care,20040,43.26734817861745,-1.977693872557828,2026-09-20,ODE_HEALTH_CENTRES_2026,582964.5811292345,4791011.383487937
entityEDE2CA03,PAC DE HERNANI,primary_care,20040,43.26734817861745,-1.977693872557828,2026-09-20,ODE_HEALTH_CENTRES_2026,582964.5811292345,4791011.383487937
entity4D362056,Centro de Salud de Ibarra,primary_care,20042,43.132938987276994,-2.068756663696381,2026-09-20,ODE_HEALTH_CENTRES_2026,575740.4876457524,4775998.459325249
entityBFD365AA,Consultorio de Idiazabal,primary_care,20043,43.01091383998051,-2.2345230946824897,2026-09-20,ODE_HEALTH_CENTRES_2026,562381.8488231583,4762311.025362864
entityD0F906D7,Consultorio de Ikaztegieta,primary_care,20044,43.09322062692517,-2.126168795809712,2026-09-20,ODE_HEALTH_CENTRES_2026,571116.9602905143,4771537.387363552
entityFBC226A8,Centro de Salud Mental de Irun,mental_health,20045,43.33544343627544,-1.7875726664018368,2026-09-20,ODE_HEALTH_CENTRES_2026,598284.1064629629,4798780.012206007
entity77741462,Equipo de Psiquiatría Infanto Juvenil de Irún,mental_health,20045,43.33674829629418,-1.7877870697702454,2026-09-20,ODE_HEALTH_CENTRES_2026,598264.6215328919,4798924.672760769
entityDCF0E44B,Ambulatorio de Irun Centro,primary_care,20045,43.33750113266984,-1.7952194226885752,2026-09-20,ODE_HEALTH_CENTRES_2026,597660.9267802889,4798999.557518193
entityFD00E6AA,Ambulatorio de Irun Centro,primary_care,20045,43.33750113266984,-1.7952194226885752,2026-09-20,ODE_HEALTH_CENTRES_2026,597660.9267802889,4798999.557518193
entityDEE2EED1,Centro de Salud de Dumboa,primary_care,20045,43.33995263033484,-1.7810235803578958,2026-09-20,ODE_HEALTH_CENTRES_2026,598807.6928382289,4799288.518700978
entity86D41A67,PAC DE IRUN CENTRO,primary_care,20045,43.33750113266984,-1.7952194226885752,2026-09-20,ODE_HEALTH_CENTRES_2026,597660.9267802889,4798999.557518193
entityD69ECB4C,Consultorio de Irura,primary_care,20046,43.16696571277916,-2.0692120914812207,2026-09-20,ODE_HEALTH_CENTRES_2026,575661.4594740195,4779776.790256913
entity2721854A,Consultorio de Itsasondo,primary_care,20047,43.0690430708654,-2.1636602290992903,2026-09-20,ODE_HEALTH_CENTRES_2026,568092.4670611664,4768821.340207098
entity3ABA1316,Centro de Salud de Lazkao,primary_care,20049,43.03412836130665,-2.1881247048566914,2026-09-20,ODE_HEALTH_CENTRES_2026,566138.1359962483,4764924.493399001
entity9EAEB1E4,Consultorio de Leaburu,primary_care,20050,43.1246988099968,-2.0518612519160966,2026-09-20,ODE_HEALTH_CENTRES_2026,577124.9978864364,4775098.782451875
entityB4343EC6,Consultorio de Txarama,primary_care,20050,43.115960473281895,-2.0734177771266,2026-09-20,ODE_HEALTH_CENTRES_2026,575382.2304486224,4774108.763967277
entity94B2E778,Centro de Salud de Legazpi,primary_care,20051,43.052303727751806,-2.3336932743352725,2026-09-20,ODE_HEALTH_CENTRES_2026,554263.5594925233,4766838.463815858
entity0304FECE,Consultorio de Legorreta,primary_care,20052,43.085250483572565,-2.1488853728392634,2026-09-20,ODE_HEALTH_CENTRES_2026,569277.1392653353,4770633.28139171
entity4B0E440D,Centro de Salud de Lezo,primary_care,20053,43.3216056215937,-1.8923397293566595,2026-09-20,ODE_HEALTH_CENTRES_2026,589811.6003989025,4797125.219034381
entityFE32842B,Consultorio de Lizartza,primary_care,20054,43.10306792772424,-2.0347600928212297,2026-09-20,ODE_HEALTH_CENTRES_2026,578543.7366267934,4772712.5181690715
entity890F297C,Hospital de Alto Deba,hospital,20055,43.06327803498619,-2.482371459545515,2026-09-20,ODE_HEALTH_CENTRES_2026,542147.7673056073,4767971.753138094
