service_id,service_name,service_category,service_type_original,municipality_code,municipality_name,latitude,longitude,address,reference_period,source_id
entityF0AB2E0A,Centro de Salud de Alde Zaharra,primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.32293621867683,-1.9848533374531965,"Aldamar, s/n - Edificio Pescadería, 20003 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity00D25176,Centro de Salud de Altza,primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.31661100985079,-1.9325920200546745,"Paseo Larratxo, 95, 20017 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity2BFB79C1,Centro de Salud de Amara Centro,primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.31354117457219,-1.98013352701756,"Prim, 61, 20006 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity8B9FBAA9,Centro de Salud de Bidebieta,primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.32328078592063,-1.9403148403026391,"Paseo Julio Urkixo, 24, 20016 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity9BA769CD,Centro de Salud de Egia,primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.31604889179736,-1.971079946624063,"Ametzagaña, 8, 20012 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity6B5A894C,Centro de Salud de Intxaurrondo,primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.31553302530196,-1.95538723690516,"Paseo Zarategi, 92, 20015 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity598620A3,Centro de Salud de Loiola,primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.3050239686461,-1.9626118628057665,"Avenida Felisa Martín Bravo, 4, 20014 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityE49758E2,Centro de Salud de Martutene (Centro Penitenciario),primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.30296440025264,-1.9580338122309977,"Paseo Martutene, 1, 20014 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityB72BE54E,Centro de Salud de Ondarreta,primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.31361476246078,-2.005252359137495,"Avenida Zumalakarregi, 24, 20008 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityB32290B8,Centro de Salud de Pasai Antxo,primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.31547743257897,-1.9191760466323704,"Eskalantegi, 68, 20110 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
