municipality_code,municipality_name,population_total,population_65_plus,population_75_plus,pct_65_plus,pct_75_plus,reference_period,source_id,area_km2,services_hospital,services_mental_health,services_other_health,services_primary_care,services_total,primary_care_per_10000_65_plus,primary_care_per_10000_75_plus,hospital_per_10000_65_plus,hospital_per_10000_75_plus,mental_health_per_10000_65_plus,mental_health_per_10000_75_plus,other_health_per_10000_65_plus,other_health_per_10000_75_plus,representative_point_longitude,representative_point_latitude,distance_to_nearest_primary_care_m,distance_to_nearest_hospital_m,distance_to_nearest_mental_health_m,distance_to_nearest_other_health_m,metrics_reference_period,source_ids
20035,Ezkio-Itsaso,632,164,83,25.949,13.133,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,21.21789117331292,0,0,0,1,1,60.976,120.482,0.0,0.0,0.0,0.0,0.0,0.0,-2.2705022,43.0832427,2110.1,3432.5,3801.8,28873.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20036,Hondarribia,16960,4377,2254,25.808,13.29,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,29.756653294748617,1,0,0,1,2,2.285,4.437,2.285,4.437,0.0,0.0,0.0,0.0,-1.8239952,43.3617119,2583.5,2331.6,4037.4,8788.1,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20037,Gaintza,124,27,13,21.774,10.484,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,5.8989862785204155,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1324256,43.0546598,1664.7,15029.0,4706.2,25134.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20038,Gabiria,542,123,55,22.694,10.148,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,14.826865030335222,0,0,0,1,1,81.301,181.818,0.0,0.0,0.0,0.0,0.0,0.0,-2.293212,43.0514759,1065.1,3929.9,4341.2,32681.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20039,Getaria,2931,574,301,19.584,10.27,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,11.005080393298803,0,0,0,1,1,17.422,33.223,0.0,0.0,0.0,0.0,0.0,0.0,-2.2113986,43.2923736,1153.5,14826.6,2913.3,16215.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20040,Hernani,20428,4557,2298,22.308,11.249,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,39.893326472006194,0,0,0,2,2,4.389,8.703,0.0,0.0,0.0,0.0,0.0,0.0,-1.9243882,43.2278527,5882.0,8071.7,7977.6,8411.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20041,Hernialde,323,82,27,25.387,8.359,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,4.255999937767404,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.09712,43.1546428,2192.5,18562.2,2519.9,13854.8,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20042,Ibarra,4076,1127,574,27.65,14.082,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,5.134847166315631,0,0,0,1,1,8.873,17.422,0.0,0.0,0.0,0.0,0.0,0.0,-2.055256,43.1425819,927.7,18114.7,2057.0,13881.8,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20043,Idiazabal,2279,559,299,24.528,13.12,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,29.30290501967143,0,0,0,1,1,17.889,33.445,0.0,0.0,0.0,0.0,0.0,0.0,-2.2253279,42.991227,2311.2,12507.9,7289.9,34788.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20044,Ikaztegieta,488,115,49,23.566,10.041,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,2.0530014938494268,0,0,0,1,1,86.957,204.082,0.0,0.0,0.0,0.0,0.0,0.0,-2.1207862,43.0900958,558.9,15633.5,6148.4,21141.7,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
